Date,Main_x,Start,End,InBed hrs,Asleep hrs,Awake,REM hrs,Light hrs,Deep hrs,Wake Count,Efficiency,Fall Asleep,Data Source,Main_y,Start_Nap,End_Nap,Asleep_Nap,Data Source Nap,Overnight HRV,Baseline,7d Avg,Stress,RHR,Stress_sleep
2025-09-16,True,23:39,07:30,7.84,7.09,45,1.53,4.28,1.29,1.0,90%,1.0,Synthetic,False,13:31,14:15,44.0,Synthetic,60.0,55ms - 65ms,53.0,16.0,51.0,6.0
2025-09-17,True,23:40,06:32,6.86,6.28,35,1.12,4.18,0.97,2.0,91%,1.0,Synthetic,,,,,,45.0,40ms - 50ms,49.0,27.0,57.0,9.0
2025-09-18,True,22:29,05:34,7.07,6.97,6,1.51,4.14,1.32,1.0,99%,5.0,Synthetic,,,,,,58.0,53ms - 63ms,50.0,29.0,50.0,9.0
2025-09-19,True,23:08,06:06,6.97,6.47,30,1.14,4.3,1.03,3.0,93%,7.0,Synthetic,False,15:21,15:54,33.0,Synthetic,44.0,39ms - 49ms,50.0,40.0,55.0,13.0
2025-09-20,True,22:30,05:42,7.2,7.0,12,1.16,4.73,1.1,0.0,97%,3.0,Synthetic,False,13:22,13:47,25.0,Synthetic,47.0,42ms - 52ms,49.0,35.0,59.0,20.0
2025-09-21,True,22:53,07:08,8.25,7.62,38,1.6,4.59,1.42,1.0,92%,2.0,Synthetic,False,15:52,16:13,21.0,Synthetic,49.0,44ms - 54ms,50.0,23.0,54.0,17.0
2025-09-22,True,23:11,06:15,7.06,6.53,32,1.44,4.26,0.82,2.0,92%,2.0,Synthetic,,,,,,58.0,53ms - 63ms,52.0,28.0,55.0,18.0
2025-09-23,True,21:01,04:59,7.97,7.59,23,1.41,4.99,1.19,2.0,95%,11.0,Synthetic,,,,,,57.0,52ms - 62ms,51.0,26.0,52.0,13.0
2025-09-24,True,00:24,08:10,7.76,7.16,36,1.62,4.36,1.18,1.0,92%,1.0,Synthetic,,,,,,60.0,55ms - 65ms,53.0,23.0,48.0,11.0
2025-09-25,True,23:20,07:37,8.28,7.55,44,1.8,4.46,1.29,1.0,91%,39.0,Synthetic,,,,,,60.0,55ms - 65ms,54.0,27.0,52.0,17.0
2025-09-26,True,22:39,06:14,7.57,7.02,33,1.63,4.23,1.16,2.0,93%,40.0,Synthetic,,,,,,54.0,49ms - 59ms,55.0,28.0,54.0,16.0
2025-09-27,True,00:07,06:49,6.68,6.6,5,1.62,3.98,1.0,2.0,99%,1.0,Synthetic,,,,,,60.0,55ms - 65ms,57.0,22.0,53.0,12.0
2025-09-28,True,22:48,07:07,8.32,7.67,39,1.66,4.79,1.22,4.0,92%,20.0,Synthetic,,,,,,52.0,47ms - 57ms,57.0,21.0,51.0,19.0
2025-09-29,True,23:05,06:21,7.27,6.43,50,1.13,4.38,0.92,2.0,89%,18.0,Synthetic,,,,,,41.0,36ms - 46ms,55.0,22.0,56.0,17.0
2025-09-30,True,22:43,05:45,7.04,6.14,54,0.97,3.96,1.22,2.0,87%,13.0,Synthetic,,,,,,38.0,33ms - 43ms,52.0,37.0,58.0,18.0
2025-10-01,True,23:58,06:49,6.85,5.75,66,1.08,3.62,1.06,3.0,84%,5.0,Synthetic,,,,,,35.0,30ms - 40ms,49.0,38.0,61.0,17.0
2025-10-02,True,22:56,05:50,6.89,6.39,30,1.3,4.12,0.97,2.0,93%,13.0,Synthetic,,,,,,48.0,43ms - 53ms,47.0,34.0,53.0,20.0
2025-10-03,True,23:05,07:13,8.13,7.06,64,1.62,4.33,1.11,0.0,87%,31.0,Synthetic,,,,,,52.0,47ms - 57ms,47.0,22.0,57.0,21.0
2025-10-04,True,23:42,07:11,7.47,7.12,21,1.69,4.34,1.09,2.0,95%,6.0,Synthetic,,,,,,53.0,48ms - 58ms,46.0,28.0,53.0,13.0
2025-10-05,True,23:20,07:16,7.92,7.16,46,1.46,4.73,0.97,0.0,90%,25.0,Synthetic,,,,,,56.0,51ms - 61ms,46.0,37.0,50.0,20.0
2025-10-06,True,22:58,06:29,7.51,7.26,15,1.34,4.7,1.22,2.0,97%,10.0,Synthetic,False,13:31,14:12,41.0,Synthetic,57.0,52ms - 62ms,48.0,26.0,56.0,6.0
2025-10-07,True,23:39,07:54,8.26,7.94,19,1.69,4.97,1.28,1.0,96%,36.0,Synthetic,,,,,,57.0,52ms - 62ms,51.0,23.0,57.0,12.0
2025-10-08,True,00:29,08:21,7.86,7.0,52,1.51,4.29,1.19,2.0,89%,15.0,Synthetic,,,,,,50.0,45ms - 55ms,53.0,27.0,55.0,13.0
2025-10-09,True,23:11,06:17,7.1,6.65,27,1.42,4.25,0.98,1.0,94%,28.0,Synthetic,,,,,,62.0,57ms - 67ms,55.0,33.0,55.0,10.0
2025-10-10,True,23:04,07:19,8.25,7.47,47,1.45,4.86,1.16,3.0,91%,49.0,Synthetic,,,,,,50.0,45ms - 55ms,55.0,22.0,54.0,24.0
2025-10-11,True,23:06,06:33,7.45,6.73,43,1.4,4.21,1.12,1.0,90%,9.0,Synthetic,,,,,,49.0,44ms - 54ms,54.0,30.0,50.0,15.0
2025-10-12,True,23:46,07:44,7.96,7.3,40,1.38,4.7,1.22,1.0,92%,18.0,Synthetic,False,11:46,12:00,14.0,Synthetic,46.0,41ms - 51ms,53.0,26.0,51.0,15.0
2025-10-13,True,22:39,06:20,7.69,6.59,66,1.13,4.42,1.05,2.0,86%,57.0,Synthetic,,,,,,37.0,32ms - 42ms,50.0,32.0,59.0,19.0
2025-10-14,True,22:50,06:14,7.39,6.75,38,1.39,4.42,0.94,1.0,91%,89.0,Synthetic,,,,,,41.0,36ms - 46ms,48.0,29.0,54.0,8.0
2025-10-15,True,22:06,05:21,7.24,6.87,22,1.29,4.39,1.2,2.0,95%,13.0,Synthetic,,,,,,48.0,43ms - 53ms,48.0,38.0,54.0,14.0
2025-10-16,True,22:19,06:32,8.23,7.71,31,1.58,4.97,1.16,3.0,94%,46.0,Synthetic,,,,,,45.0,40ms - 50ms,45.0,38.0,55.0,20.0
2025-10-17,True,22:42,07:26,8.74,8.04,42,1.73,4.86,1.44,2.0,92%,7.0,Synthetic,,,,,,64.0,59ms - 69ms,47.0,28.0,55.0,11.0
2025-10-18,True,22:58,06:53,7.91,7.31,36,1.41,4.62,1.28,1.0,92%,8.0,Synthetic,,,,,,51.0,46ms - 56ms,47.0,22.0,48.0,9.0
2025-10-19,True,00:02,07:43,7.69,7.56,8,1.62,4.74,1.2,0.0,98%,44.0,Synthetic,False,11:35,11:58,23.0,Synthetic,53.0,48ms - 58ms,48.0,34.0,49.0,16.0
2025-10-20,True,23:19,07:29,8.17,7.82,21,1.92,4.55,1.34,1.0,96%,16.0,Synthetic,,,,,,58.0,53ms - 63ms,51.0,21.0,55.0,18.0
2025-10-21,True,22:28,05:39,7.18,6.72,28,1.23,4.3,1.18,6.0,94%,29.0,Synthetic,,,,,,58.0,53ms - 63ms,54.0,23.0,50.0,16.0
2025-10-22,True,22:35,06:18,7.73,7.22,31,1.19,4.73,1.29,0.0,93%,7.0,Synthetic,False,15:03,15:58,55.0,Synthetic,52.0,47ms - 57ms,54.0,18.0,55.0,12.0
2025-10-23,True,23:48,06:45,6.95,6.4,33,0.91,4.54,0.95,2.0,92%,26.0,Synthetic,,,,,,43.0,38ms - 48ms,54.0,42.0,57.0,18.0
2025-10-24,True,23:39,06:41,7.03,6.19,50,1.07,4.06,1.06,1.0,88%,31.0,Synthetic,,,,,,27.0,22ms - 32ms,49.0,44.0,62.0,18.0
2025-10-25,True,23:01,05:23,6.37,5.47,54,0.9,3.7,0.86,2.0,86%,8.0,Synthetic,,,,,,29.0,24ms - 34ms,46.0,54.0,65.0,19.0
2025-10-26,True,22:45,05:03,6.32,5.12,72,0.82,3.63,0.66,1.0,81%,12.0,Synthetic,,,,,,27.0,22ms - 32ms,42.0,35.0,64.0,19.0
2025-10-27,True,23:39,06:07,6.45,5.44,61,1.18,3.35,0.91,1.0,84%,7.0,Synthetic,,,,,,32.0,27ms - 37ms,38.0,43.0,61.0,17.0
2025-10-28,True,22:25,05:01,6.6,5.73,52,0.62,4.04,1.07,1.0,87%,35.0,Synthetic,False,12:51,13:29,38.0,Synthetic,38.0,33ms - 43ms,35.0,37.0,56.0,16.0
2025-10-29,True,23:14,06:09,6.92,6.14,47,1.18,3.81,1.15,2.0,89%,19.0,Synthetic,,,,,,31.0,26ms - 36ms,32.0,40.0,61.0,13.0
2025-10-30,True,00:20,07:53,7.57,6.95,37,1.69,4.23,1.03,1.0,92%,3.0,Synthetic,,,,,,46.0,41ms - 51ms,33.0,18.0,51.0,15.0
2025-10-31,True,23:07,07:25,8.3,7.82,29,1.43,5.2,1.19,0.0,94%,50.0,Synthetic,,,,,,47.0,42ms - 52ms,36.0,35.0,55.0,16.0
2025-11-01,True,22:33,06:37,8.06,7.78,17,1.63,4.61,1.54,0.0,96%,17.0,Synthetic,,,,,,52.0,47ms - 57ms,39.0,28.0,52.0,19.0
2025-11-02,True,23:14,06:09,6.91,6.43,29,1.18,4.32,0.92,5.0,93%,8.0,Synthetic,,,,,,50.0,45ms - 55ms,42.0,29.0,56.0,13.0
2025-11-03,True,22:44,06:17,7.56,7.01,33,1.27,4.75,0.99,5.0,93%,16.0,Synthetic,,,,,,49.0,44ms - 54ms,45.0,32.0,56.0,17.0
2025-11-04,True,22:11,05:06,6.92,6.37,33,1.16,4.28,0.93,3.0,92%,4.0,Synthetic,False,13:12,13:37,25.0,Synthetic,47.0,42ms - 52ms,46.0,29.0,55.0,19.0
2025-11-05,True,23:25,06:40,7.26,6.46,48,1.45,3.95,1.06,2.0,89%,6.0,Synthetic,,,,,,47.0,42ms - 52ms,48.0,30.0,53.0,17.0
2025-11-06,True,23:39,07:32,7.89,7.15,44,1.77,4.19,1.2,1.0,91%,31.0,Synthetic,,,,,,56.0,51ms - 61ms,50.0,24.0,55.0,17.0
2025-11-07,True,22:49,06:01,7.2,6.68,31,1.18,4.57,0.93,4.0,93%,6.0,Synthetic,,,,,,41.0,36ms - 46ms,49.0,26.0,59.0,22.0
2025-11-08,True,22:47,06:06,7.33,6.63,42,1.6,4.04,0.99,1.0,90%,63.0,Synthetic,,,,,,48.0,43ms - 53ms,48.0,34.0,58.0,18.0
2025-11-09,True,22:26,06:28,8.03,7.45,35,1.53,4.76,1.15,0.0,93%,4.0,Synthetic,,,,,,52.0,47ms - 57ms,49.0,34.0,54.0,14.0
2025-11-10,True,22:55,05:56,7.03,6.26,46,1.5,3.85,0.9,1.0,89%,36.0,Synthetic,False,12:06,12:34,28.0,Synthetic,47.0,42ms - 52ms,48.0,27.0,52.0,15.0
2025-11-11,True,22:40,05:51,7.17,6.31,52,1.13,3.97,1.21,3.0,88%,37.0,Synthetic,,,,,,37.0,32ms - 42ms,47.0,38.0,61.0,14.0
2025-11-12,True,22:25,06:38,8.22,7.74,29,1.5,5.0,1.24,3.0,94%,21.0,Synthetic,,,,,,42.0,37ms - 47ms,46.0,31.0,56.0,15.0
2025-11-13,True,00:06,07:16,7.16,6.62,32,1.31,4.19,1.13,2.0,93%,4.0,Synthetic,False,14:45,15:36,51.0,Synthetic,39.0,34ms - 44ms,44.0,35.0,58.0,16.0
2025-11-14,True,23:16,07:24,8.13,7.43,42,1.95,4.34,1.14,1.0,91%,8.0,Synthetic,,,,,,49.0,44ms - 54ms,45.0,27.0,54.0,12.0
2025-11-15,True,23:20,07:08,7.8,6.93,52,1.53,4.28,1.12,3.0,89%,12.0,Synthetic,,,,,,48.0,43ms - 53ms,45.0,24.0,59.0,17.0
2025-11-16,True,23:31,07:27,7.93,7.84,5,1.68,4.81,1.35,4.0,99%,25.0,Synthetic,False,13:37,14:26,49.0,Synthetic,57.0,52ms - 62ms,46.0,25.0,47.0,15.0
2025-11-17,True,23:27,07:20,7.88,7.32,34,1.75,4.6,0.97,1.0,93%,65.0,Synthetic,,,,,,53.0,48ms - 58ms,46.0,23.0,50.0,9.0
2025-11-18,True,22:46,06:27,7.69,6.79,54,1.31,4.53,0.95,2.0,88%,19.0,Synthetic,,,,,,43.0,38ms - 48ms,47.0,39.0,55.0,17.0
2025-11-19,True,23:10,06:24,7.24,6.66,35,1.3,4.46,0.9,1.0,92%,20.0,Synthetic,False,11:33,12:13,40.0,Synthetic,54.0,49ms - 59ms,49.0,27.0,51.0,11.0
2025-11-20,True,22:51,06:51,8.0,7.32,41,1.68,4.66,0.98,2.0,91%,25.0,Synthetic,,,,,,53.0,48ms - 58ms,51.0,21.0,54.0,13.0
2025-11-21,True,23:15,06:46,7.52,7.27,15,1.68,4.39,1.2,2.0,97%,10.0,Synthetic,,,,,,58.0,53ms - 63ms,52.0,25.0,53.0,7.0
2025-11-22,True,23:12,07:37,8.41,8.11,18,1.96,4.46,1.7,1.0,96%,4.0,Synthetic,False,12:31,13:12,41.0,Synthetic,67.0,62ms - 72ms,55.0,20.0,47.0,11.0
2025-11-23,True,22:47,07:05,8.31,8.23,5,1.92,4.77,1.54,1.0,99%,39.0,Synthetic,False,14:07,15:05,58.0,Synthetic,60.0,55ms - 65ms,55.0,22.0,49.0,7.0
2025-11-24,True,22:13,06:36,8.37,8.29,5,2.1,4.39,1.79,2.0,99%,68.0,Synthetic,,,,,,63.0,58ms - 68ms,57.0,19.0,40.0,11.0
2025-11-25,True,23:05,06:59,7.9,7.22,41,1.65,4.25,1.33,1.0,91%,28.0,Synthetic,,,,,,60.0,55ms - 65ms,59.0,20.0,51.0,11.0
2025-11-26,True,22:53,06:31,7.64,7.23,25,1.21,4.71,1.31,2.0,95%,5.0,Synthetic,,,,,,49.0,44ms - 54ms,59.0,26.0,53.0,12.0
2025-11-27,True,21:54,05:05,7.19,6.54,39,1.37,4.24,0.93,0.0,91%,17.0,Synthetic,,,,,,44.0,39ms - 49ms,57.0,30.0,54.0,12.0
2025-11-28,True,23:18,06:50,7.54,7.08,28,1.22,4.67,1.18,5.0,94%,19.0,Synthetic,,,,,,45.0,40ms - 50ms,55.0,25.0,59.0,18.0
2025-11-29,True,23:34,05:36,6.04,5.42,37,0.75,3.79,0.88,3.0,90%,9.0,Synthetic,,,,,,43.0,38ms - 48ms,52.0,36.0,58.0,24.0
2025-11-30,True,00:28,07:45,7.27,6.6,40,1.29,4.32,0.99,2.0,91%,19.0,Synthetic,,,,,,46.0,41ms - 51ms,50.0,37.0,55.0,18.0
2025-12-01,True,22:46,05:12,6.42,5.87,33,1.18,3.69,1.01,2.0,91%,60.0,Synthetic,,,,,,42.0,37ms - 47ms,47.0,31.0,54.0,25.0
2025-12-02,True,22:41,05:15,6.57,5.62,57,0.91,3.81,0.9,1.0,86%,12.0,Synthetic,,,,,,41.0,36ms - 46ms,44.0,30.0,54.0,26.0
2025-12-03,True,22:21,06:07,7.77,6.75,61,1.3,4.54,0.9,0.0,87%,13.0,Synthetic,,,,,,34.0,29ms - 39ms,42.0,31.0,57.0,20.0
2025-12-04,True,23:07,06:55,7.8,6.95,51,1.12,4.89,0.94,3.0,89%,20.0,Synthetic,,,,,,51.0,46ms - 56ms,43.0,41.0,59.0,17.0
2025-12-05,True,23:07,06:29,7.37,6.72,39,1.34,4.39,0.99,3.0,91%,12.0,Synthetic,,,,,,51.0,46ms - 56ms,44.0,26.0,48.0,16.0
2025-12-06,True,22:32,06:20,7.8,7.17,38,1.61,4.18,1.37,0.0,92%,31.0,Synthetic,False,13:11,13:37,26.0,Synthetic,55.0,50ms - 60ms,46.0,13.0,46.0,5.0
2025-12-07,True,22:54,06:25,7.51,7.43,5,2.0,3.79,1.64,0.0,99%,9.0,Synthetic,,,,,,81.0,76ms - 86ms,51.0,3.0,40.0,7.0
2025-12-08,True,21:51,06:07,8.27,8.18,5,2.16,4.44,1.59,0.0,99%,17.0,Synthetic,,,,,,82.0,77ms - 87ms,56.0,3.0,48.0,6.0
2025-12-09,True,23:32,08:53,9.35,8.73,37,1.85,5.26,1.62,0.0,93%,27.0,Synthetic,False,11:46,11:58,12.0,Synthetic,67.0,62ms - 72ms,60.0,26.0,51.0,11.0
2025-12-10,True,22:33,06:23,7.84,6.84,60,1.43,4.26,1.15,0.0,87%,5.0,Synthetic,,,,,,52.0,47ms - 57ms,63.0,30.0,55.0,20.0
2025-12-11,True,22:59,06:00,7.02,6.63,23,1.35,4.12,1.16,1.0,95%,13.0,Synthetic,,,,,,44.0,39ms - 49ms,62.0,36.0,58.0,22.0
2025-12-12,True,22:10,05:42,7.54,6.84,42,1.04,4.54,1.26,1.0,91%,11.0,Synthetic,,,,,,48.0,43ms - 53ms,61.0,32.0,55.0,18.0
2025-12-13,True,22:40,05:36,6.94,5.91,62,0.84,3.99,1.08,2.0,85%,10.0,Synthetic,,,,,,41.0,36ms - 46ms,59.0,39.0,59.0,17.0
